Date,Close,Volume,Symbol
2016/10/3,31.5,14070500,CSCO
2016/10/3,112.52,21701800,AAPL
2016/10/3,57.42,19189500,MSFT
2016/10/4,113,29736800,AAPL
2016/10/4,57.24,20085900,MSFT
2016/10/4,31.35,18460400,CSCO
2016/10/5,57.64,16726400,MSFT
2016/10/5,31.59,11808600,CSCO
2016/10/5,113.05,21453100,AAPLXXX
